file_N:27,train,seed:None,percent:2419,integrated,n:0, N:4
t,V,V'
0.0,-63.849858,-63.850017
0.020619,-63.850017,-63.850163
0.041266,-63.850163,-63.849853
0.063922,-63.849853,-63.849402
0.084541,-63.849402,-63.848993
0.105326,-63.848993,-63.848435
0.125627,-63.848435,-63.847607
0.146767,-63.847607,-63.847444
0.169378,-63.847444,-63.848302
0.190376,-63.848302,-63.849665
0.211952,-63.849665,-63.851336
0.232315,-63.851336,-63.853144
0.254155,-63.853144,-63.854293
0.274796,-63.854293,-63.854457
0.296618,-63.854457,-63.853571
0.316772,-63.853571,-63.852667
0.336802,-63.852667,-63.852034
0.357519,-63.852034,-63.85214
0.379399,-63.85214,-63.853523
0.40057,-63.853523,-63.85607
0.421831,-63.85607,-63.858737
0.441954,-63.858737,-63.861062
0.462326,-63.861062,-63.862755
0.483684,-63.862755,-63.863302
0.505851,-63.863302,-63.862928
0.526228,-63.862928,-63.861968
0.547608,-63.861968,-63.86068
0.569168,-63.86068,-63.859542
0.59053,-63.859542,-63.858703
0.612814,-63.858703,-63.85874
0.634733,-63.85874,-63.859591
0.65515,-63.859591,-63.861085
0.676414,-63.861085,-63.862614
0.696743,-63.862614,-63.863825
0.717456,-63.863825,-63.864323
0.738076,-63.864323,-63.864117
0.759071,-63.864117,-63.863461
0.779518,-63.863461,-63.862778
0.800689,-63.862778,-63.862491
0.820938,-63.862491,-63.862466
0.84468,-63.862466,-63.863027
0.865912,-63.863027,-63.864103
0.886188,-63.864103,-63.865462
0.907421,-63.865462,-63.866977
0.928062,-63.866977,-63.868687
0.948124,-63.868687,-63.870299
0.970161,-63.870299,-63.871108
0.991904,-63.871108,-63.871312
1.01271,-63.871312,-63.871284
1.034429,-63.871284,-63.871064
1.056795,-63.871064,-63.871029
1.078658,-63.871029,-63.871402
1.099406,-63.871402,-63.871909
1.119757,-63.871909,-63.872151
1.140451,-63.872151,-63.871688
1.161074,-63.871688,-63.870818
1.182074,-63.870818,-63.870162
1.202954,-63.870162,-63.869673
1.225378,-63.869673,-63.869627
1.248277,-63.869627,-63.870197
1.270179,-63.870197,-63.871018
1.291269,-63.871018,-63.871607
1.312391,-63.871607,-63.871777
1.334784,-63.871777,-63.872087
1.354879,-63.872087,-63.872209
1.375089,-63.872209,-63.872271
1.397828,-63.872271,-63.873067
1.419179,-63.873067,-63.874689
1.44033,-63.874689,-63.876572
1.462169,-63.876572,-63.878099
1.482224,-63.878099,-63.87953
1.502693,-63.87953,-63.88068
1.523672,-63.88068,-63.881259
1.544263,-63.881259,-63.881615
1.565086,-63.881615,-63.882621
1.587079,-63.882621,-63.884379
1.607718,-63.884379,-63.886273
1.629348,-63.886273,-63.887761
1.64945,-63.887761,-63.889193
1.669967,-63.889193,-63.890446
1.690796,-63.890446,-63.89114
1.710837,-63.89114,-63.891645
1.733102,-63.891645,-63.892277
1.755444,-63.892277,-63.892839
1.777426,-63.892839,-63.893143
1.798308,-63.893143,-63.893535
1.82096,-63.893535,-63.894606
1.842213,-63.894606,-63.896005
1.863203,-63.896005,-63.897226
1.884256,-63.897226,-63.897835
1.904388,-63.897835,-63.897429
1.92641,-63.897429,-63.896151
1.946674,-63.896151,-63.894951
1.96758,-63.894951,-63.894662
1.988829,-63.894662,-63.895649
2.009676,-63.895649,-63.897519
2.030119,-63.897519,-63.900036
2.050931,-63.900036,-63.902215
2.071518,-63.902215,-63.903285
2.091824,-63.903285,-63.903684
2.113543,-63.903684,-63.903969
2.135406,-63.903969,-63.903982
2.157692,-63.903982,-63.903972
2.180592,-63.903972,-63.904672
2.202209,-63.904672,-63.905575
2.222577,-63.905575,-63.906337
2.243129,-63.906337,-63.907224
2.263886,-63.907224,-63.908409
2.285813,-63.908409,-63.909403
2.307663,-63.909403,-63.910017
2.328734,-63.910017,-63.910815
2.350169,-63.910815,-63.911525
2.370984,-63.911525,-63.911985
2.393419,-63.911985,-63.91256
2.413654,-63.91256,-63.913384
2.434755,-63.913384,-63.914163
2.455424,-63.914163,-63.914863
2.476575,-63.914863,-63.915519
2.497893,-63.915519,-63.915861
2.518099,-63.915861,-63.915981
2.538582,-63.915981,-63.916013
2.560406,-63.916013,-63.916069
2.581478,-63.916069,-63.916098
2.60319,-63.916098,-63.916056
2.623674,-63.916056,-63.916061
2.646522,-63.916061,-63.916097
2.669126,-63.916097,-63.916313
2.689614,-63.916313,-63.916852
2.71075,-63.916852,-63.917441
2.732922,-63.917441,-63.918107
2.754951,-63.918107,-63.918907
2.775992,-63.918907,-63.919515
2.797134,-63.919515,-63.919694
2.818738,-63.919694,-63.919718
2.840948,-63.919718,-63.919693
2.861497,-63.919693,-63.919304
2.88345,-63.919304,-63.919087
2.904473,-63.919087,-63.919537
2.925489,-63.919537,-63.919873
2.94568,-63.919873,-63.919627
2.966851,-63.919627,-63.919542
2.990047,-63.919542,-63.920014
3.010602,-63.920014,-63.920969
3.031739,-63.920969,-63.922458
3.053088,-63.922458,-63.924435
3.074897,-63.924435,-63.925569
3.095346,-63.925569,-63.92573
3.117681,-63.92573,-63.925267
3.137682,-63.925267,-63.924857
3.157891,-63.924857,-63.924852
3.178544,-63.924852,-63.9254
3.200678,-63.9254,-63.926369
3.221679,-63.926369,-63.927534
3.243385,-63.927534,-63.929064
3.264602,-63.929064,-63.930673
3.284639,-63.930673,-63.931968
3.30518,-63.931968,-63.932709
3.327365,-63.932709,-63.932544
3.349472,-63.932544,-63.931744
3.369575,-63.931744,-63.930546
3.391559,-63.930546,-63.929512
3.413328,-63.929512,-63.928908
3.434226,-63.928908,-63.928586
3.454751,-63.928586,-63.928459
3.475445,-63.928459,-63.928382
3.495501,-63.928382,-63.928353
3.518877,-63.928353,-63.928368
3.541341,-63.928368,-63.928396
3.563929,-63.928396,-63.927985
3.5863,-63.927985,-63.927311
3.608338,-63.927311,-63.926769
3.630376,-63.926769,-63.926381
3.650848,-63.926381,-63.92634
3.670964,-63.92634,-63.927142
3.69295,-63.927142,-63.928663
3.714119,-63.928663,-63.92961
3.735396,-63.92961,-63.929651
3.756413,-63.929651,-63.928879
3.777475,-63.928879,-63.927502
3.799128,-63.927502,-63.926316
3.820142,-63.926316,-63.925936
3.841173,-63.925936,-63.926431
3.861789,-63.926431,-63.927216
3.882882,-63.927216,-63.927529
3.90532,-63.927529,-63.927306
3.928362,-63.927306,-63.92655
3.948584,-63.92655,-63.926082
3.969971,-63.926082,-63.926292
3.991116,-63.926292,-63.926773
4.012375,-63.926773,-63.927286
4.032471,-63.927286,-63.92793
4.054485,-63.92793,-63.928639
4.076215,-63.928639,-63.929725
4.096595,-63.929725,-63.931519
4.117161,-63.931519,-63.934087
4.138046,-63.934087,-63.936857
4.158109,-63.936857,-63.939322
4.178238,-63.939322,-63.941055
4.199429,-63.941055,-63.941715
4.221285,-63.941715,-63.941486
4.241953,-63.941486,-63.940979
4.26271,-63.940979,-63.94014
4.284589,-63.94014,-63.939029
4.306669,-63.939029,-63.938509
4.327429,-63.938509,-63.938542
4.348984,-63.938542,-63.93891
4.369678,-63.93891,-63.939643
4.391915,-63.939643,-63.940255
4.413253,-63.940255,-63.940301
4.435622,-63.940301,-63.939718
4.457689,-63.939718,-63.938879
4.478668,-63.938879,-63.938288
4.499769,-63.938288,-63.938332
4.521888,-63.938332,-63.938953
4.543093,-63.938953,-63.939231
4.565769,-63.939231,-63.938822
4.58704,-63.938822,-63.938259
4.609502,-63.938259,-63.938091
4.631105,-63.938091,-63.938416
4.652865,-63.938416,-63.939315
4.674921,-63.939315,-63.940717
4.696293,-63.940717,-63.941788
4.717539,-63.941788,-63.942364
4.738684,-63.942364,-63.942844
4.761115,-63.942844,-63.943089
4.783174,-63.943089,-63.943623
4.805129,-63.943623,-63.944685
4.825824,-63.944685,-63.946058
4.846984,-63.946058,-63.947098
4.868389,-63.947098,-63.947995
4.888622,-63.947995,-63.949098
4.91062,-63.949098,-63.949432
4.931919,-63.949432,-63.948809
4.953767,-63.948809,-63.948559
4.974331,-63.948559,-63.948538
4.994993,-63.948538,-63.948274
5.016854,-63.948274,-63.9475
5.038927,-63.9475,-63.946967
5.060695,-63.946967,-63.946402
5.080999,-63.946402,-63.945487
5.101788,-63.945487,-63.944949
5.122585,-63.944949,-63.944723
5.145273,-63.944723,-63.944606
5.166075,-63.944606,-63.944689
5.188389,-63.944689,-63.945022
5.209888,-63.945022,-63.945933
5.231767,-63.945933,-63.947113
5.253752,-63.947113,-63.94838
5.275088,-63.94838,-63.949251
5.296906,-63.949251,-63.94927
5.319608,-63.94927,-63.949208
5.340165,-63.949208,-63.949447
5.361086,-63.949447,-63.949886
5.382275,-63.949886,-63.950374
5.40287,-63.950374,-63.950717
5.423197,-63.950717,-63.950504
5.44503,-63.950504,-63.94993
5.465647,-63.94993,-63.949522
5.488234,-63.949522,-63.949573
5.510444,-63.949573,-63.950392
5.531234,-63.950392,-63.951789
5.552865,-63.951789,-63.953469
5.57314,-63.953469,-63.954968
5.593234,-63.954968,-63.956073
5.614314,-63.956073,-63.956816
5.634632,-63.956816,-63.957335
5.656252,-63.957335,-63.95744
5.679578,-63.95744,-63.957427
5.703675,-63.957427,-63.957687
5.724353,-63.957687,-63.95868
5.74622,-63.95868,-63.960225
5.767292,-63.960225,-63.961728
5.78759,-63.961728,-63.963104
5.808173,-63.963104,-63.963874
5.830018,-63.963874,-63.963436
5.852047,-63.963436,-63.962152
5.872244,-63.962152,-63.960427
5.892555,-63.960427,-63.958291
5.913956,-63.958291,-63.956417
5.935416,-63.956417,-63.955112
5.955718,-63.955112,-63.954574
5.976009,-63.954574,-63.954859
5.99862,-63.954859,-63.955888
6.020044,-63.955888,-63.9572
6.041421,-63.9572,-63.958454
6.062608,-63.958454,-63.959591
6.084094,-63.959591,-63.960817
