file_N:22,train,seed:None,percent:2547,integrated,n:1,N:4
t,V,V'
0.0,-63.842077,-63.842034
0.022436,-63.842034,-63.842168
0.043503,-63.842168,-63.8429
0.064464,-63.8429,-63.844615
0.085828,-63.844615,-63.84693
0.107006,-63.84693,-63.849332
0.127631,-63.849332,-63.851087
0.148805,-63.851087,-63.85193
0.17026,-63.85193,-63.852213
0.190314,-63.852213,-63.852062
0.212273,-63.852062,-63.851346
0.232885,-63.851346,-63.850557
0.253654,-63.850557,-63.85001
0.274877,-63.85001,-63.850273
0.295487,-63.850273,-63.851279
0.317216,-63.851279,-63.852794
0.338285,-63.852794,-63.854384
0.358487,-63.854384,-63.855636
0.378991,-63.855636,-63.856073
0.399688,-63.856073,-63.855705
0.420742,-63.855705,-63.854965
0.442474,-63.854965,-63.85445
0.464349,-63.85445,-63.854343
0.486817,-63.854343,-63.854611
0.509032,-63.854611,-63.854715
0.529862,-63.854715,-63.854875
0.550566,-63.854875,-63.855373
0.572419,-63.855373,-63.85601
0.594599,-63.85601,-63.856768
0.616072,-63.856768,-63.857725
0.636477,-63.857725,-63.858869
0.658337,-63.858869,-63.859875
0.680273,-63.859875,-63.860758
0.700666,-63.860758,-63.86194
0.722588,-63.86194,-63.862985
0.744315,-63.862985,-63.863674
0.764927,-63.863674,-63.864484
0.786165,-63.864484,-63.865486
0.80627,-63.865486,-63.866548
0.828172,-63.866548,-63.867327
0.848408,-63.867327,-63.867643
0.870738,-63.867643,-63.867365
0.892277,-63.867365,-63.867372
0.913332,-63.867372,-63.868182
0.934111,-63.868182,-63.869711
0.955415,-63.869711,-63.871405
0.975499,-63.871405,-63.873223
0.997332,-63.873223,-63.874543
1.017701,-63.874543,-63.875196
1.040027,-63.875196,-63.875249
1.061016,-63.875249,-63.875343
1.082083,-63.875343,-63.875361
1.10379,-63.875361,-63.874975
1.126431,-63.874975,-63.874597
1.146916,-63.874597,-63.87488
1.167556,-63.87488,-63.8759
1.189007,-63.8759,-63.877274
1.210335,-63.877274,-63.878823
1.230895,-63.878823,-63.880554
1.250935,-63.880554,-63.882722
1.272275,-63.882722,-63.88464
1.293582,-63.88464,-63.886064
1.313805,-63.886064,-63.887548
1.334294,-63.887548,-63.888672
1.355126,-63.888672,-63.888661
1.375577,-63.888661,-63.887505
1.397327,-63.887505,-63.885891
1.417825,-63.885891,-63.884608
1.438364,-63.884608,-63.88371
1.46039,-63.88371,-63.883471
1.482647,-63.883471,-63.884448
1.503322,-63.884448,-63.886013
1.524034,-63.886013,-63.887463
1.544435,-63.887463,-63.888569
1.565504,-63.888569,-63.889323
1.585828,-63.889323,-63.889903
1.607246,-63.889903,-63.889904
1.630782,-63.889904,-63.889709
1.651605,-63.889709,-63.890366
1.673806,-63.890366,-63.891439
1.693973,-63.891439,-63.892781
1.715288,-63.892781,-63.894383
1.735828,-63.894383,-63.896218
1.757706,-63.896218,-63.897304
1.778386,-63.897304,-63.897598
1.80061,-63.897598,-63.897328
1.821816,-63.897328,-63.896276
1.843319,-63.896276,-63.894985
1.864608,-63.894985,-63.893891
1.88608,-63.893891,-63.893443
1.907137,-63.893443,-63.893415
1.928694,-63.893415,-63.893607
1.950001,-63.893607,-63.893968
1.971854,-63.893968,-63.89367
1.9924,-63.89367,-63.89352
2.015008,-63.89352,-63.893713
2.035131,-63.893713,-63.894012
2.055369,-63.894012,-63.89461
2.075747,-63.89461,-63.895577
2.096754,-63.895577,-63.897289
2.11756,-63.897289,-63.899428
2.138967,-63.899428,-63.901713
2.160056,-63.901713,-63.904099
2.180657,-63.904099,-63.906011
2.20174,-63.906011,-63.906996
2.222499,-63.906996,-63.906985
2.243722,-63.906985,-63.906636
2.266034,-63.906636,-63.906195
2.287652,-63.906195,-63.905519
2.309831,-63.905519,-63.904994
2.33179,-63.904994,-63.904692
2.353253,-63.904692,-63.904181
2.374298,-63.904181,-63.903564
2.396326,-63.903564,-63.903129
2.4164,-63.903129,-63.902578
2.436742,-63.902578,-63.901753
2.457715,-63.901753,-63.901129
2.478989,-63.901129,-63.900727
2.501618,-63.900727,-63.90075
2.524359,-63.90075,-63.901231
2.544456,-63.901231,-63.902203
2.565411,-63.902203,-63.903387
2.587142,-63.903387,-63.904416
2.609094,-63.904416,-63.905853
2.630559,-63.905853,-63.907403
2.650963,-63.907403,-63.909056
2.671136,-63.909056,-63.911217
2.692631,-63.911217,-63.913447
2.713649,-63.913447,-63.915597
2.734594,-63.915597,-63.917119
2.756464,-63.917119,-63.9177
2.776481,-63.9177,-63.91742
2.799361,-63.91742,-63.916421
2.820759,-63.916421,-63.915383
2.842679,-63.915383,-63.915094
2.864466,-63.915094,-63.916163
2.885702,-63.916163,-63.918041
2.905885,-63.918041,-63.920223
2.92707,-63.920223,-63.922007
2.948497,-63.922007,-63.92281
2.969883,-63.92281,-63.922633
2.991699,-63.922633,-63.921731
3.013917,-63.921731,-63.92099
3.034349,-63.92099,-63.920747
3.055023,-63.920747,-63.920655
3.075758,-63.920655,-63.921179
3.095878,-63.921179,-63.922144
3.116559,-63.922144,-63.922931
3.136734,-63.922931,-63.923413
3.158806,-63.923413,-63.923678
3.179816,-63.923678,-63.923351
3.201018,-63.923351,-63.92253
3.222854,-63.92253,-63.921771
3.243568,-63.921771,-63.921304
3.265437,-63.921304,-63.921353
3.286441,-63.921353,-63.921912
3.308694,-63.921912,-63.9229
3.329482,-63.9229,-63.923915
3.351598,-63.923915,-63.924903
3.371664,-63.924903,-63.926368
3.392834,-63.926368,-63.927927
3.413269,-63.927927,-63.92989
3.435152,-63.92989,-63.931878
3.456685,-63.931878,-63.933718
3.478319,-63.933718,-63.935042
3.498724,-63.935042,-63.936301
3.520026,-63.936301,-63.937763
3.540806,-63.937763,-63.939016
3.561598,-63.939016,-63.939977
3.583567,-63.939977,-63.940643
3.604376,-63.940643,-63.94085
3.625038,-63.94085,-63.940686
3.645645,-63.940686,-63.93993
3.666659,-63.93993,-63.938781
3.688834,-63.938781,-63.937507
3.710321,-63.937507,-63.936372
3.731553,-63.936372,-63.936387
3.751783,-63.936387,-63.937716
3.773259,-63.937716,-63.940068
3.794893,-63.940068,-63.942628
3.815273,-63.942628,-63.944458
3.836256,-63.944458,-63.945298
3.857645,-63.945298,-63.94558
3.877766,-63.94558,-63.945881
3.898366,-63.945881,-63.946804
3.920054,-63.946804,-63.947962
3.94203,-63.947962,-63.94912
3.963711,-63.94912,-63.949746
3.983919,-63.949746,-63.949631
4.006868,-63.949631,-63.949366
4.029724,-63.949366,-63.949439
4.052129,-63.949439,-63.950187
4.07301,-63.950187,-63.951143
4.093306,-63.951143,-63.952266
4.115291,-63.952266,-63.953196
4.137309,-63.953196,-63.95347
4.157394,-63.95347,-63.953642
4.178176,-63.953642,-63.953803
4.199202,-63.953803,-63.953901
4.219667,-63.953901,-63.95412
4.241093,-63.95412,-63.954343
4.261715,-63.954343,-63.954541
4.282033,-63.954541,-63.954789
4.302953,-63.954789,-63.955399
4.323915,-63.955399,-63.956387
4.344524,-63.956387,-63.957519
4.366322,-63.957519,-63.958293
4.386422,-63.958293,-63.958822
4.408139,-63.958822,-63.959197
4.428841,-63.959197,-63.959482
4.45077,-63.959482,-63.959874
4.472836,-63.959874,-63.960458
4.493123,-63.960458,-63.961433
4.513956,-63.961433,-63.962727
4.535339,-63.962727,-63.96355
4.557471,-63.96355,-63.964081
4.579748,-63.964081,-63.964631
4.60193,-63.964631,-63.964945
4.623077,-63.964945,-63.965443
4.644539,-63.965443,-63.96651
4.665484,-63.96651,-63.968223
4.686139,-63.968223,-63.969616
4.706234,-63.969616,-63.970389
4.728316,-63.970389,-63.970818
4.750898,-63.970818,-63.970956
4.773728,-63.970956,-63.970811
4.793906,-63.970811,-63.970737
4.816202,-63.970737,-63.971005
4.838948,-63.971005,-63.971265
4.86099,-63.971265,-63.971377
4.884318,-63.971377,-63.971575
4.905949,-63.971575,-63.971992
4.928561,-63.971992,-63.97253
4.948668,-63.97253,-63.972836
4.96919,-63.972836,-63.972926
4.990761,-63.972926,-63.972952
5.011948,-63.972952,-63.972466
5.032984,-63.972466,-63.971908
5.054922,-63.971908,-63.972179
5.077786,-63.972179,-63.973178
5.099388,-63.973178,-63.97447
5.120859,-63.97447,-63.975941
5.141858,-63.975941,-63.977629
5.161988,-63.977629,-63.978957
5.182229,-63.978957,-63.980037
5.203955,-63.980037,-63.981268
5.225585,-63.981268,-63.982232
5.247335,-63.982232,-63.982343
5.267726,-63.982343,-63.982029
5.289235,-63.982029,-63.981867
5.309289,-63.981867,-63.981548
5.330247,-63.981548,-63.980789
5.352411,-63.980789,-63.980323
5.374749,-63.980323,-63.979517
5.396873,-63.979517,-63.978352
5.418992,-63.978352,-63.977482
5.441208,-63.977482,-63.977445
5.462299,-63.977445,-63.978339
5.482502,-63.978339,-63.979984
5.503466,-63.979984,-63.982068
5.525096,-63.982068,-63.983805
5.546691,-63.983805,-63.98445
5.568577,-63.98445,-63.984211
5.591367,-63.984211,-63.983268
5.613453,-63.983268,-63.981942
5.635023,-63.981942,-63.980666
5.656084,-63.980666,-63.979789
5.677959,-63.979789,-63.979865
5.698802,-63.979865,-63.98084
5.720907,-63.98084,-63.982069
5.742699,-63.982069,-63.983378
5.763941,-63.983378,-63.984351
5.785512,-63.984351,-63.984766
5.80733,-63.984766,-63.984695
5.829089,-63.984695,-63.984842
5.849838,-63.984842,-63.985128
5.872568,-63.985128,-63.985111
5.89306,-63.985111,-63.985231
5.913535,-63.985231,-63.985816
5.935209,-63.985816,-63.986738
5.956358,-63.986738,-63.98821
5.977653,-63.98821,-63.989934
5.997911,-63.989934,-63.991956
6.019364,-63.991956,-63.993244
6.039534,-63.993244,-63.993821
6.05987,-63.993821,-63.994064
6.081289,-63.994064,-63.994234
6.102093,-63.994234,-63.994513
6.12308,-63.994513,-63.995112
6.143766,-63.995112,-63.995921
6.164848,-63.995921,-63.996659
6.185678,-63.996659,-63.997038
6.207901,-63.997038,-63.996689
6.228753,-63.996689,-63.99595
6.250965,-63.99595,-63.994794
6.271083,-63.994794,-63.993345
6.291905,-63.993345,-63.992269
