file_N:21,train,seed:None,percent:5079,integrated,n:1,N:2
t,V,V'
0.0,-67.616935,-67.617049
0.022924,-67.617049,-67.617418
0.044456,-67.617418,-67.617715
0.066626,-67.617715,-67.618093
0.087315,-67.618093,-67.618867
0.107611,-67.618867,-67.6196
0.12924,-67.6196,-67.619942
0.150092,-67.619942,-67.61976
0.173152,-67.61976,-67.619317
0.195267,-67.619317,-67.619477
0.217062,-67.619477,-67.6203
0.238692,-67.6203,-67.621985
0.260753,-67.621985,-67.623654
0.281561,-67.623654,-67.624773
0.303386,-67.624773,-67.625367
0.325278,-67.625367,-67.62562
0.347272,-67.62562,-67.625443
0.370439,-67.625443,-67.624815
0.392226,-67.624815,-67.624305
0.412694,-67.624305,-67.623606
0.433139,-67.623606,-67.622441
0.453882,-67.622441,-67.621552
0.474458,-67.621552,-67.620904
0.496402,-67.620904,-67.62062
0.517771,-67.62062,-67.620761
0.538576,-67.620761,-67.621059
0.559908,-67.621059,-67.621299
0.580076,-67.621299,-67.621387
0.603215,-67.621387,-67.621615
0.62415,-67.621615,-67.621878
0.644329,-67.621878,-67.62204
0.666165,-67.62204,-67.622533
0.686799,-67.622533,-67.623014
0.707325,-67.623014,-67.623262
0.730011,-67.623262,-67.623557
0.751283,-67.623557,-67.624123
0.772791,-67.624123,-67.624648
0.793413,-67.624648,-67.625158
0.814061,-67.625158,-67.625467
0.8362,-67.625467,-67.625748
0.856349,-67.625748,-67.625926
0.877621,-67.625926,-67.625986
0.900963,-67.625986,-67.625422
0.923004,-67.625422,-67.624179
0.943946,-67.624179,-67.622566
0.96548,-67.622566,-67.620868
0.986467,-67.620868,-67.619589
1.007848,-67.619589,-67.619212
1.029669,-67.619212,-67.620193
1.05149,-67.620193,-67.621743
1.0733,-67.621743,-67.622889
1.095253,-67.622889,-67.623261
1.117635,-67.623261,-67.622872
1.139766,-67.622872,-67.622227
1.160345,-67.622227,-67.621653
1.180358,-67.621653,-67.621535
1.202423,-67.621535,-67.62244
1.224702,-67.62244,-67.624025
1.246738,-67.624025,-67.62565
1.267875,-67.62565,-67.627271
1.289028,-67.627271,-67.629121
1.309778,-67.629121,-67.63045
1.330761,-67.63045,-67.630312
1.35105,-67.630312,-67.628755
1.372462,-67.628755,-67.626336
1.392508,-67.626336,-67.62345
1.413514,-67.62345,-67.620497
1.434201,-67.620497,-67.618088
1.4552,-67.618088,-67.617024
1.47642,-67.617024,-67.616602
1.499055,-67.616602,-67.616637
1.521661,-67.616637,-67.616708
1.544816,-67.616708,-67.616544
1.566118,-67.616544,-67.616334
1.58815,-67.616334,-67.616334
1.612062,-67.616334,-67.616799
1.632966,-67.616799,-67.61773
1.655214,-67.61773,-67.618843
1.675764,-67.618843,-67.619725
1.696347,-67.619725,-67.620034
1.716757,-67.620034,-67.619891
1.737133,-67.619891,-67.619523
1.757967,-67.619523,-67.618972
1.779232,-67.618972,-67.618407
1.799631,-67.618407,-67.618032
1.820675,-67.618032,-67.617936
1.842321,-67.617936,-67.618211
1.863057,-67.618211,-67.61919
1.8833,-67.61919,-67.620677
1.905263,-67.620677,-67.622267
1.926684,-67.622267,-67.623735
1.947971,-67.623735,-67.624555
1.968234,-67.624555,-67.624771
1.989248,-67.624771,-67.624212
2.010057,-67.624212,-67.623136
2.031351,-67.623136,-67.622067
2.051816,-67.622067,-67.620877
2.071893,-67.620877,-67.620085
2.092468,-67.620085,-67.620034
2.115033,-67.620034,-67.620488
2.135724,-67.620488,-67.621157
2.15601,-67.621157,-67.6219
2.178197,-67.6219,-67.622572
2.200483,-67.622572,-67.622762
2.222114,-67.622762,-67.622327
2.243914,-67.622327,-67.621808
2.26468,-67.621808,-67.621571
2.286909,-67.621571,-67.621388
2.309658,-67.621388,-67.621204
2.331664,-67.621204,-67.621011
2.354211,-67.621011,-67.620547
2.374746,-67.620547,-67.619353
2.396167,-67.619353,-67.617924
2.417987,-67.617924,-67.617024
2.438164,-67.617024,-67.616652
2.458418,-67.616652,-67.616648
2.480297,-67.616648,-67.616967
2.501355,-67.616967,-67.617487
2.523566,-67.617487,-67.617914
2.544267,-67.617914,-67.617974
2.565786,-67.617974,-67.617846
2.587933,-67.617846,-67.617799
2.609317,-67.617799,-67.617683
2.631816,-67.617683,-67.618119
2.653602,-67.618119,-67.619308
2.67512,-67.619308,-67.620844
2.696793,-67.620844,-67.62216
2.718523,-67.62216,-67.622908
2.739154,-67.622908,-67.622721
2.761894,-67.622721,-67.621905
2.782526,-67.621905,-67.62092
2.803549,-67.62092,-67.620016
2.824498,-67.620016,-67.619116
2.845748,-67.619116,-67.618571
2.867677,-67.618571,-67.61898
2.887996,-67.61898,-67.620024
2.909773,-67.620024,-67.62123
2.930048,-67.62123,-67.622785
2.951623,-67.622785,-67.623818
2.973846,-67.623818,-67.624537
2.995691,-67.624537,-67.625565
3.017326,-67.625565,-67.627211
3.039112,-67.627211,-67.629011
3.059976,-67.629011,-67.630711
3.080602,-67.630711,-67.631772
3.102398,-67.631772,-67.631472
3.123356,-67.631472,-67.630335
3.144827,-67.630335,-67.629456
3.165489,-67.629456,-67.628893
3.187854,-67.628893,-67.628437
3.208954,-67.628437,-67.628605
3.229592,-67.628605,-67.62908
3.251986,-67.62908,-67.629535
3.273074,-67.629535,-67.629629
3.295286,-67.629629,-67.63009
3.316221,-67.63009,-67.630435
3.337426,-67.630435,-67.63022
3.359931,-67.63022,-67.630068
3.381351,-67.630068,-67.629819
3.40209,-67.629819,-67.629423
3.423865,-67.629423,-67.629265
3.44495,-67.629265,-67.629628
3.467184,-67.629628,-67.630198
3.487811,-67.630198,-67.630257
3.511415,-67.630257,-67.630162
3.532532,-67.630162,-67.630275
3.554674,-67.630275,-67.63038
3.576332,-67.63038,-67.630969
3.597234,-67.630969,-67.632568
3.617547,-67.632568,-67.63481
3.637628,-67.63481,-67.637067
3.659388,-67.637067,-67.638705
3.67984,-67.638705,-67.639813
3.701721,-67.639813,-67.639828
3.722662,-67.639828,-67.638765
3.742917,-67.638765,-67.637232
3.764689,-67.637232,-67.635903
3.786387,-67.635903,-67.634773
3.806399,-67.634773,-67.634508
3.828457,-67.634508,-67.635517
3.849899,-67.635517,-67.636921
3.872045,-67.636921,-67.638347
3.893881,-67.638347,-67.639755
3.915512,-67.639755,-67.640629
3.935925,-67.640629,-67.641155
3.958116,-67.641155,-67.641416
3.978923,-67.641416,-67.642169
3.999635,-67.642169,-67.642866
4.021368,-67.642866,-67.642962
4.04419,-67.642962,-67.642946
4.067652,-67.642946,-67.643284
4.089761,-67.643284,-67.643893
4.110959,-67.643893,-67.644839
4.132894,-67.644839,-67.64615
4.15305,-67.64615,-67.647423
4.174857,-67.647423,-67.64773
4.197009,-67.64773,-67.646834
4.219024,-67.646834,-67.645348
4.241123,-67.645348,-67.644145
4.263159,-67.644145,-67.643307
4.284088,-67.643307,-67.643201
4.305155,-67.643201,-67.64423
4.326459,-67.64423,-67.645838
4.348143,-67.645838,-67.647061
4.369744,-67.647061,-67.647039
4.391412,-67.647039,-67.646371
4.413253,-67.646371,-67.645304
4.434684,-67.645304,-67.643842
4.456661,-67.643842,-67.64299
4.476778,-67.64299,-67.643101
4.499696,-67.643101,-67.643745
4.521543,-67.643745,-67.644423
4.544016,-67.644423,-67.644837
4.564803,-67.644837,-67.644885
4.58599,-67.644885,-67.644325
4.60752,-67.644325,-67.64349
4.629456,-67.64349,-67.642954
4.651915,-67.642954,-67.642891
4.67268,-67.642891,-67.643283
4.694955,-67.643283,-67.643937
4.71563,-67.643937,-67.644635
4.737827,-67.644635,-67.644866
4.759286,-67.644866,-67.644761
4.780505,-67.644761,-67.644465
4.800944,-67.644465,-67.643565
4.82098,-67.643565,-67.642234
4.841163,-67.642234,-67.64038
4.862217,-67.64038,-67.638316
4.882423,-67.638316,-67.63609
4.904413,-67.63609,-67.634258
4.924672,-67.634258,-67.632872
4.945743,-67.632872,-67.631521
4.967838,-67.631521,-67.630208
4.989801,-67.630208,-67.629268
5.010176,-67.629268,-67.628644
5.032003,-67.628644,-67.628461
5.054027,-67.628461,-67.629013
5.075113,-67.629013,-67.630087
5.096532,-67.630087,-67.63112
5.116854,-67.63112,-67.631725
5.138569,-67.631725,-67.632056
5.160329,-67.632056,-67.632182
5.181304,-67.632182,-67.632068
5.203702,-67.632068,-67.632046
5.225248,-67.632046,-67.631823
5.247923,-67.631823,-67.631088
5.26915,-67.631088,-67.630029
5.290169,-67.630029,-67.62913
5.310929,-67.62913,-67.628391
5.332602,-67.628391,-67.627894
5.352711,-67.627894,-67.627817
5.372999,-67.627817,-67.628055
5.395362,-67.628055,-67.628042
5.419466,-67.628042,-67.628434
5.440309,-67.628434,-67.629404
5.46226,-67.629404,-67.630264
5.483381,-67.630264,-67.630969
5.505317,-67.630969,-67.631706
5.52773,-67.631706,-67.632555
5.549487,-67.632555,-67.633064
5.572054,-67.633064,-67.633345
5.59446,-67.633345,-67.633173
5.614492,-67.633173,-67.632222
5.635042,-67.632222,-67.631099
5.655375,-67.631099,-67.630214
5.676015,-67.630214,-67.629745
5.698463,-67.629745,-67.630022
5.720215,-67.630022,-67.630924
5.740352,-67.630924,-67.632156
5.760643,-67.632156,-67.633649
5.782393,-67.633649,-67.635271
5.803733,-67.635271,-67.636795
5.824884,-67.636795,-67.637535
5.845131,-67.637535,-67.63763
5.868029,-67.63763,-67.637566
5.88885,-67.637566,-67.637322
5.909033,-67.637322,-67.637369
5.929081,-67.637369,-67.637804
5.95026,-67.637804,-67.638972
5.971945,-67.638972,-67.640159
5.99418,-67.640159,-67.640596
6.016604,-67.640596,-67.640976
6.039351,-67.640976,-67.641309
6.061135,-67.641309,-67.641341
6.081913,-67.641341,-67.641299
6.102728,-67.641299,-67.641451
6.123929,-67.641451,-67.641967
6.146204,-67.641967,-67.642411
6.167408,-67.642411,-67.643021
6.188548,-67.643021,-67.644265
6.2096,-67.644265,-67.645607
6.231531,-67.645607,-67.646866
6.253734,-67.646866,-67.647821
6.274199,-67.647821,-67.648445
6.295812,-67.648445,-67.648381
6.316871,-67.648381,-67.647867
6.337109,-67.647867,-67.647197
6.359556,-67.647197,-67.647076
6.382431,-67.647076,-67.647475
6.404896,-67.647475,-67.648122
6.425452,-67.648122,-67.648591
6.445697,-67.648591,-67.648439
6.467146,-67.648439,-67.647788
6.48866,-67.647788,-67.647381
6.509115,-67.647381,-67.647654
6.530727,-67.647654,-67.648537
6.550969,-67.648537,-67.649609
6.571542,-67.649609,-67.650426
6.592495,-67.650426,-67.65093
6.614995,-67.65093,-67.650672
6.636769,-67.650672,-67.650029
6.657559,-67.650029,-67.649785
6.67897,-67.649785,-67.649882
6.70092,-67.649882,-67.649791
6.724422,-67.649791,-67.649525
6.746728,-67.649525,-67.649347
6.767843,-67.649347,-67.649155
6.79043,-67.649155,-67.649059
6.813066,-67.649059,-67.649361
6.834195,-67.649361,-67.650047
6.854842,-67.650047,-67.650553
6.875079,-67.650553,-67.650999
6.89623,-67.650999,-67.651493
6.917873,-67.651493,-67.65248
6.940055,-67.65248,-67.653657
6.960294,-67.653657,-67.654742
6.980482,-67.654742,-67.655939
7.000706,-67.655939,-67.657042
7.022926,-67.657042,-67.657098
7.044181,-67.657098,-67.656327
7.065543,-67.656327,-67.655851
7.08785,-67.655851,-67.655879
7.108324,-67.655879,-67.655697
7.131399,-67.655697,-67.655314
7.151403,-67.655314,-67.654975
7.173768,-67.654975,-67.654607
7.196252,-67.654607,-67.654517
7.217508,-67.654517,-67.655013
7.239821,-67.655013,-67.655967
7.261385,-67.655967,-67.656382
7.283801,-67.656382,-67.65605
7.305436,-67.65605,-67.655398
