file_N:26,train,seed:None,percent:4827,integrated,n:2,N:2
t,V,V'
1009.13361,-43.458575,-43.443968
1009.15394,-43.443968,-43.429301
1009.174201,-43.429301,-43.414749
1009.194468,-43.414749,-43.399972
1009.214711,-43.399972,-43.384722
1009.234817,-43.384722,-43.368509
1009.255801,-43.368509,-43.352567
1009.276796,-43.352567,-43.337221
1009.296798,-43.337221,-43.320953
1009.317722,-43.320953,-43.304819
1009.338637,-43.304819,-43.288782
1009.35959,-43.288782,-43.272054
1009.380416,-43.272054,-43.254852
1009.40106,-43.254852,-43.237147
1009.421545,-43.237147,-43.219208
1009.441926,-43.219208,-43.200879
1009.4622,-43.200879,-43.182438
1009.482394,-43.182438,-43.164144
1009.502584,-43.164144,-43.145996
1009.522808,-43.145996,-43.127753
1009.543003,-43.127753,-43.109933
1009.563247,-43.109933,-43.092385
1009.58357,-43.092385,-43.074695
1009.603908,-43.074695,-43.056078
1009.624065,-43.056078,-43.035558
1009.644906,-43.035558,-43.014158
1009.665507,-43.014158,-42.992186
1009.685911,-42.992186,-42.97053
1009.706285,-42.97053,-42.949407
1009.726754,-42.949407,-42.928452
1009.747277,-42.928452,-42.907373
1009.767791,-42.907373,-42.885976
1009.788227,-42.885976,-42.864355
1009.808589,-42.864355,-42.842414
1009.828875,-42.842414,-42.820387
1009.849087,-42.820387,-42.798483
1009.869307,-42.798483,-42.776263
1009.889481,-42.776263,-42.753605
1009.909549,-42.753605,-42.729664
1009.930436,-42.729664,-42.705795
1009.951288,-42.705795,-42.682235
1009.972165,-42.682235,-42.659839
1009.992167,-42.659839,-42.636434
1010.01307,-42.636434,-42.613023
1010.033956,-42.613023,-42.589522
1010.054814,-42.589522,-42.565768
1010.075614,-42.565768,-42.542046
1010.096368,-42.542046,-42.51873
1010.11716,-42.51873,-42.495501
1010.137989,-42.495501,-42.471982
1010.158769,-42.471982,-42.448011
1010.179455,-42.448011,-42.423097
1010.199972,-42.423097,-42.397395
1010.220293,-42.397395,-42.371511
1010.24051,-42.371511,-42.34577
1010.260702,-42.34577,-42.320767
1010.280971,-42.320767,-42.296182
1010.301332,-42.296182,-42.271727
1010.32172,-42.271727,-42.247423
1010.342127,-42.247423,-42.222718
1010.36248,-42.222718,-42.197626
1010.382733,-42.197626,-42.172338
1010.402917,-42.172338,-42.146771
1010.423031,-42.146771,-42.121003
1010.443088,-42.121003,-42.093532
1010.463914,-42.093532,-42.065641
1010.484623,-42.065641,-42.037743
1010.505281,-42.037743,-42.009931
1010.525922,-42.009931,-41.982242
1010.546568,-41.982242,-41.954596
1010.567195,-41.954596,-41.927153
1010.587836,-41.927153,-41.899482
1010.608449,-41.899482,-41.871474
1010.628979,-41.871474,-41.843513
1010.649468,-41.843513,-41.815795
1010.669965,-41.815795,-41.788356
1010.690487,-41.788356,-41.761118
1010.711032,-41.761118,-41.733914
1010.731576,-41.733914,-41.706477
1010.75208,-41.706477,-41.678533
1010.772494,-41.678533,-41.65004
1010.792791,-41.65004,-41.621254
1010.812995,-41.621254,-41.592181
1010.833132,-41.592181,-41.563143
1010.85322,-41.563143,-41.534444
1010.873326,-41.534444,-41.505863
1010.89345,-41.505863,-41.477167
1010.913548,-41.477167,-41.448636
1010.933626,-41.448636,-41.420203
1010.953712,-41.420203,-41.391764
1010.973779,-41.391764,-41.363087
1010.993806,-41.363087,-41.333096
1011.01461,-41.333096,-41.302744
1011.035355,-41.302744,-41.27195
1011.056004,-41.27195,-41.240591
1011.076548,-41.240591,-41.20915
1011.097017,-41.20915,-41.177796
1011.117468,-41.177796,-41.14666
1011.137918,-41.14666,-41.115761
1011.158382,-41.115761,-41.084991
1011.178851,-41.084991,-41.05412
1011.199296,-41.05412,-41.02327
1011.219712,-41.02327,-40.992342
1011.240097,-40.992342,-40.961548
1011.26047,-40.961548,-40.930412
1011.280794,-40.930412,-40.899233
1011.301069,-40.899233,-40.867699
1011.321292,-40.867699,-40.835444
1011.341397,-40.835444,-40.803009
1011.36141,-40.803009,-40.771151
1011.38144,-40.771151,-40.739903
1011.401536,-40.739903,-40.709212
1011.421701,-40.709212,-40.67877
1011.441904,-40.67877,-40.648358
1011.462105,-40.648358,-40.617733
1011.482269,-40.617733,-40.586508
1011.502339,-40.586508,-40.553625
1011.523103,-40.553625,-40.520866
