file_N:30,train,seed:None,percent:4858,integrated,n:1,N:2
t,V,V'
0.0,-63.899382,-63.899421
0.021705,-63.899421,-63.899199
0.0427,-63.899199,-63.898749
0.063815,-63.898749,-63.898213
0.084134,-63.898213,-63.89736
0.105421,-63.89736,-63.896394
0.125537,-63.896394,-63.895019
0.14706,-63.895019,-63.893422
0.167449,-63.893422,-63.892271
0.188148,-63.892271,-63.891654
0.208741,-63.891654,-63.891284
0.228882,-63.891284,-63.891358
0.250529,-63.891358,-63.891458
0.272846,-63.891458,-63.891183
0.29314,-63.891183,-63.890557
0.313304,-63.890557,-63.890041
0.33517,-63.890041,-63.889815
0.35777,-63.889815,-63.889146
0.378827,-63.889146,-63.888242
0.399072,-63.888242,-63.887644
0.42033,-63.887644,-63.887163
0.442728,-63.887163,-63.887152
0.462958,-63.887152,-63.887878
0.48415,-63.887878,-63.889043
0.506233,-63.889043,-63.889421
0.527095,-63.889421,-63.88851
0.547872,-63.88851,-63.887132
0.56907,-63.887132,-63.885821
0.589975,-63.885821,-63.884948
0.611785,-63.884948,-63.884888
0.632945,-63.884888,-63.885524
0.65481,-63.885524,-63.88635
0.675778,-63.88635,-63.887102
0.69644,-63.887102,-63.887512
0.718537,-63.887512,-63.887347
0.739875,-63.887347,-63.886637
0.760563,-63.886637,-63.88558
0.780702,-63.88558,-63.884184
0.801938,-63.884184,-63.882861
0.822661,-63.882861,-63.882488
0.843078,-63.882488,-63.883335
0.864514,-63.883335,-63.884857
0.885738,-63.884857,-63.88654
0.905838,-63.88654,-63.887852
0.92611,-63.887852,-63.888437
0.946218,-63.888437,-63.888055
0.968355,-63.888055,-63.886928
0.989135,-63.886928,-63.885084
1.009548,-63.885084,-63.882779
1.030553,-63.882779,-63.881121
1.051998,-63.881121,-63.880369
1.073921,-63.880369,-63.880162
1.094474,-63.880162,-63.880671
1.114724,-63.880671,-63.881635
1.135309,-63.881635,-63.882141
1.156218,-63.882141,-63.881967
1.177533,-63.881967,-63.881813
1.198211,-63.881813,-63.881909
1.219981,-63.881909,-63.881851
1.240933,-63.881851,-63.881926
1.263085,-63.881926,-63.882774
1.283339,-63.882774,-63.884146
1.304835,-63.884146,-63.885856
1.325237,-63.885856,-63.888272
1.346394,-63.888272,-63.890633
1.36691,-63.890633,-63.892386
1.388166,-63.892386,-63.892911
1.410395,-63.892911,-63.892729
1.432361,-63.892729,-63.892139
1.453721,-63.892139,-63.891259
1.47442,-63.891259,-63.890966
1.496489,-63.890966,-63.891394
1.517023,-63.891394,-63.892172
1.538917,-63.892172,-63.893104
1.559284,-63.893104,-63.894284
1.581319,-63.894284,-63.895473
1.602672,-63.895473,-63.896239
1.622686,-63.896239,-63.897037
1.643747,-63.897037,-63.897748
1.664415,-63.897748,-63.898124
1.687072,-63.898124,-63.89816
1.708365,-63.89816,-63.89763
1.729149,-63.89763,-63.896817
1.750283,-63.896817,-63.896116
1.771141,-63.896116,-63.895839
1.791375,-63.895839,-63.895905
1.815127,-63.895905,-63.896012
1.835955,-63.896012,-63.896279
1.85748,-63.896279,-63.896615
1.879122,-63.896615,-63.896742
1.900008,-63.896742,-63.897159
1.921169,-63.897159,-63.898169
1.942122,-63.898169,-63.899299
1.96384,-63.899299,-63.89999
1.984134,-63.89999,-63.900554
2.006259,-63.900554,-63.901423
2.027685,-63.901423,-63.902626
2.049607,-63.902626,-63.903635
2.071426,-63.903635,-63.904314
2.092144,-63.904314,-63.90471
2.114627,-63.90471,-63.904587
2.136267,-63.904587,-63.904095
2.157774,-63.904095,-63.903908
2.179461,-63.903908,-63.904064
2.200402,-63.904064,-63.904188
2.221555,-63.904188,-63.904288
2.244854,-63.904288,-63.905007
2.266433,-63.905007,-63.906063
2.28649,-63.906063,-63.90727
2.308046,-63.90727,-63.908555
2.329294,-63.908555,-63.909278
2.351429,-63.909278,-63.908703
2.373395,-63.908703,-63.906866
2.394301,-63.906866,-63.905567
2.414459,-63.905567,-63.905152
2.435248,-63.905152,-63.905423
2.456312,-63.905423,-63.906646
2.477566,-63.906646,-63.908412
2.497668,-63.908412,-63.909645
2.518007,-63.909645,-63.909625
2.540554,-63.909625,-63.908692
2.56168,-63.908692,-63.908099
2.582864,-63.908099,-63.907685
2.603087,-63.907685,-63.907573
2.62541,-63.907573,-63.908261
2.647643,-63.908261,-63.909029
2.668397,-63.909029,-63.909697
2.689648,-63.909697,-63.910251
2.711857,-63.910251,-63.911165
2.733061,-63.911165,-63.912086
2.753089,-63.912086,-63.912881
2.773475,-63.912881,-63.913547
2.794428,-63.913547,-63.913647
2.815637,-63.913647,-63.912992
2.837793,-63.912992,-63.912187
2.858826,-63.912187,-63.91172
2.880156,-63.91172,-63.911917
2.902349,-63.911917,-63.912177
2.922428,-63.912177,-63.91275
2.943793,-63.91275,-63.913441
2.965074,-63.913441,-63.913925
2.987378,-63.913925,-63.914342
3.008232,-63.914342,-63.914916
3.028389,-63.914916,-63.915708
3.04956,-63.915708,-63.916144
3.071364,-63.916144,-63.916129
3.093981,-63.916129,-63.91613
3.118633,-63.91613,-63.916327
3.139463,-63.916327,-63.916889
3.160875,-63.916889,-63.917716
3.181994,-63.917716,-63.918188
3.203351,-63.918188,-63.918032
3.224646,-63.918032,-63.917468
3.246035,-63.917468,-63.916845
3.267754,-63.916845,-63.916945
3.289989,-63.916945,-63.917815
3.310082,-63.917815,-63.918914
3.332089,-63.918914,-63.919756
3.352162,-63.919756,-63.920441
3.372989,-63.920441,-63.920795
3.39565,-63.920795,-63.920757
3.416209,-63.920757,-63.920937
3.438465,-63.920937,-63.92179
3.458629,-63.92179,-63.923302
3.479829,-63.923302,-63.924817
3.500172,-63.924817,-63.926259
3.520715,-63.926259,-63.927719
3.541254,-63.927719,-63.928989
3.562022,-63.928989,-63.929724
3.584315,-63.929724,-63.929895
3.60581,-63.929895,-63.929844
3.626973,-63.929844,-63.929939
3.649697,-63.929939,-63.930191
3.670962,-63.930191,-63.930672
3.692734,-63.930672,-63.931675
3.713743,-63.931675,-63.932799
3.735411,-63.932799,-63.933153
3.756634,-63.933153,-63.932353
3.778049,-63.932353,-63.930725
3.799137,-63.930725,-63.928945
3.821132,-63.928945,-63.92746
3.841478,-63.92746,-63.926013
3.861939,-63.926013,-63.925053
3.883204,-63.925053,-63.92494
3.903727,-63.92494,-63.925046
3.923953,-63.925046,-63.925337
3.946708,-63.925337,-63.925961
3.967078,-63.925961,-63.926996
3.987563,-63.926996,-63.928003
4.009457,-63.928003,-63.928663
4.030362,-63.928663,-63.92941
4.051803,-63.92941,-63.930286
4.072358,-63.930286,-63.930978
4.093213,-63.930978,-63.931697
4.114501,-63.931697,-63.932347
4.135931,-63.932347,-63.932706
4.158445,-63.932706,-63.932424
4.180275,-63.932424,-63.931858
4.201108,-63.931858,-63.931277
4.222828,-63.931277,-63.930994
4.244,-63.930994,-63.930776
4.264172,-63.930776,-63.93058
4.284649,-63.93058,-63.930405
4.305948,-63.930405,-63.929944
4.328409,-63.929944,-63.929562
4.348914,-63.929562,-63.929309
4.370803,-63.929309,-63.929526
4.392876,-63.929526,-63.930222
4.413408,-63.930222,-63.931456
4.435505,-63.931456,-63.932268
4.457547,-63.932268,-63.93199
4.480179,-63.93199,-63.930918
4.501485,-63.930918,-63.929365
4.522427,-63.929365,-63.927873
4.542662,-63.927873,-63.927059
4.564187,-63.927059,-63.927232
4.586056,-63.927232,-63.927292
4.606356,-63.927292,-63.926572
4.628384,-63.926572,-63.925189
4.65029,-63.925189,-63.923496
4.670599,-63.923496,-63.921646
4.692415,-63.921646,-63.920294
4.712648,-63.920294,-63.919799
4.732957,-63.919799,-63.919961
4.753712,-63.919961,-63.920582
4.77499,-63.920582,-63.921526
4.79554,-63.921526,-63.922305
4.815918,-63.922305,-63.922826
4.837373,-63.922826,-63.922638
4.857972,-63.922638,-63.921702
4.879816,-63.921702,-63.920503
4.901957,-63.920503,-63.918935
4.922764,-63.918935,-63.917064
4.944742,-63.917064,-63.915326
4.96669,-63.915326,-63.914192
4.987484,-63.914192,-63.913709
5.008387,-63.913709,-63.913934
5.028877,-63.913934,-63.915094
5.050333,-63.915094,-63.916462
5.071303,-63.916462,-63.917568
5.092624,-63.917568,-63.918369
5.112795,-63.918369,-63.919011
5.133783,-63.919011,-63.919096
5.155592,-63.919096,-63.918721
5.176809,-63.918721,-63.918385
5.19787,-63.918385,-63.918126
5.218245,-63.918126,-63.917588
5.238693,-63.917588,-63.917385
5.259677,-63.917385,-63.91777
5.280831,-63.91777,-63.91833
5.303274,-63.91833,-63.918876
5.32353,-63.918876,-63.919805
5.344512,-63.919805,-63.920868
5.366558,-63.920868,-63.921415
5.387463,-63.921415,-63.921864
5.407997,-63.921864,-63.922256
5.428505,-63.922256,-63.92246
5.450525,-63.92246,-63.922118
5.472261,-63.922118,-63.921563
5.492583,-63.921563,-63.920783
5.513942,-63.920783,-63.920103
5.534977,-63.920103,-63.919741
5.555003,-63.919741,-63.919668
5.578465,-63.919668,-63.920127
5.599569,-63.920127,-63.921013
5.620832,-63.921013,-63.921873
5.64105,-63.921873,-63.922455
5.662156,-63.922455,-63.922875
5.682651,-63.922875,-63.923233
5.703396,-63.923233,-63.923226
5.724936,-63.923226,-63.923004
5.746806,-63.923004,-63.922437
5.768347,-63.922437,-63.921821
5.79,-63.921821,-63.921637
5.811469,-63.921637,-63.921648
5.831867,-63.921648,-63.922289
5.853102,-63.922289,-63.922915
5.874434,-63.922915,-63.923107
5.896122,-63.923107,-63.923134
5.918552,-63.923134,-63.922875
5.939007,-63.922875,-63.923056
5.960214,-63.923056,-63.923685
5.980469,-63.923685,-63.924374
6.002153,-63.924374,-63.925077
