file_N:24,train,seed:None,percent:10000,integrated,n:2,N:2
t,V,V'
1053.934486,-66.783598,-66.782153
1053.955076,-66.782153,-66.780022
1053.975364,-66.780022,-66.777483
1053.996704,-66.777483,-66.774831
1054.017777,-66.774831,-66.771906
1054.03846,-66.771906,-66.769262
1054.059124,-66.769262,-66.766789
1054.080314,-66.766789,-66.763832
1054.101122,-66.763832,-66.76094
1054.121558,-66.76094,-66.758276
1054.142279,-66.758276,-66.755592
1054.163216,-66.755592,-66.752599
1054.183814,-66.752599,-66.749423
1054.204042,-66.749423,-66.745923
1054.225848,-66.745923,-66.742987
1054.246144,-66.742987,-66.740232
1054.266586,-66.740232,-66.738445
1054.288294,-66.738445,-66.73751
1054.310512,-66.73751,-66.736452
1054.331599,-66.736452,-66.734668
1054.352894,-66.734668,-66.732201
1054.374751,-66.732201,-66.729682
1054.39592,-66.729682,-66.727173
1054.4171,-66.727173,-66.725271
1054.438883,-66.725271,-66.723847
1054.459925,-66.723847,-66.722542
1054.48163,-66.722542,-66.721175
1054.503382,-66.721175,-66.720042
1054.525363,-66.720042,-66.719431
1054.547001,-66.719431,-66.718805
1054.567185,-66.718805,-66.718092
1054.588876,-66.718092,-66.717433
1054.609324,-66.717433,-66.715582
1054.631322,-66.715582,-66.712642
1054.652583,-66.712642,-66.709527
1054.672811,-66.709527,-66.707146
1054.693457,-66.707146,-66.705906
1054.714067,-66.705906,-66.705298
1054.735252,-66.705298,-66.705575
1054.75796,-66.705575,-66.705583
1054.780812,-66.705583,-66.703749
1054.801605,-66.703749,-66.700461
1054.82236,-66.700461,-66.697056
1054.844172,-66.697056,-66.694429
1054.864746,-66.694429,-66.692055
1054.885883,-66.692055,-66.690156
1054.907868,-66.690156,-66.688553
1054.928728,-66.688553,-66.686713
1054.949214,-66.686713,-66.685011
1054.969545,-66.685011,-66.683846
1054.990884,-66.683846,-66.683354
1055.012669,-66.683354,-66.682864
1055.034399,-66.682864,-66.681937
1055.056406,-66.681937,-66.680144
1055.078198,-66.680144,-66.677065
1055.099411,-66.677065,-66.673128
1055.121012,-66.673128,-66.669093
1055.142151,-66.669093,-66.665518
1055.163526,-66.665518,-66.662902
1055.183915,-66.662902,-66.660967
1055.205536,-66.660967,-66.659721
1055.226856,-66.659721,-66.658322
1055.2488,-66.658322,-66.656701
1055.269832,-66.656701,-66.655011
1055.290681,-66.655011,-66.653328
1055.311187,-66.653328,-66.651795
1055.332121,-66.651795,-66.650474
1055.353443,-66.650474,-66.649568
1055.373659,-66.649568,-66.64833
1055.394103,-66.64833,-66.646472
1055.414949,-66.646472,-66.644222
1055.436916,-66.644222,-66.641414
1055.458115,-66.641414,-66.638248
1055.478432,-66.638248,-66.635059
1055.498449,-66.635059,-66.632247
1055.51872,-66.632247,-66.629936
1055.539776,-66.629936,-66.628014
1055.561748,-66.628014,-66.626826
1055.583044,-66.626826,-66.626145
1055.604053,-66.626145,-66.625693
1055.624811,-66.625693,-66.624822
1055.647071,-66.624822,-66.623589
1055.667519,-66.623589,-66.621549
1055.688226,-66.621549,-66.618636
1055.709288,-66.618636,-66.61538
1055.729455,-66.61538,-66.61184
1055.751178,-66.61184,-66.608784
1055.771247,-66.608784,-66.606238
1055.791786,-66.606238,-66.604966
1055.81197,-66.604966,-66.604712
1055.834609,-66.604712,-66.604874
1055.855629,-66.604874,-66.604716
1055.878339,-66.604716,-66.603754
1055.898923,-66.603754,-66.601922
1055.920314,-66.601922,-66.599095
1055.941644,-66.599095,-66.596275
1055.962176,-66.596275,-66.593941
1055.983212,-66.593941,-66.591949
1056.005086,-66.591949,-66.590362
1056.025728,-66.590362,-66.588651
1056.046483,-66.588651,-66.586658
1056.066707,-66.586658,-66.584228
1056.088224,-66.584228,-66.581974
1056.109667,-66.581974,-66.580158
1056.129686,-66.580158,-66.578462
1056.150059,-66.578462,-66.576788
1056.170737,-66.576788,-66.574923
1056.191146,-66.574923,-66.572372
1056.212824,-66.572372,-66.569187
1056.233343,-66.569187,-66.565632
1056.255048,-66.565632,-66.562903
1056.275313,-66.562903,-66.560463
1056.29635,-66.560463,-66.558202
1056.317775,-66.558202,-66.556498
1056.337816,-66.556498,-66.555318
1056.35908,-66.555318,-66.554973
1056.381316,-66.554973,-66.555004
1056.402252,-66.555004,-66.555025
1056.424107,-66.555025,-66.554363
1056.444322,-66.554363,-66.552442
1056.466083,-66.552442,-66.549679
1056.487285,-66.549679,-66.546924
1056.508034,-66.546924,-66.544242
1056.528709,-66.544242,-66.542005
1056.549942,-66.542005,-66.540655
1056.570377,-66.540655,-66.539824
1056.591022,-66.539824,-66.538792
1056.611666,-66.538792,-66.537316
1056.633644,-66.537316,-66.535614
1056.654484,-66.535614,-66.533659
1056.674785,-66.533659,-66.531318
1056.696438,-66.531318,-66.529284
1056.718167,-66.529284,-66.528079
1056.73934,-66.528079,-66.526498
1056.76101,-66.526498,-66.524662
1056.781542,-66.524662,-66.522659
1056.801559,-66.522659,-66.520464
1056.823259,-66.520464,-66.518946
1056.843663,-66.518946,-66.517816
1056.865365,-66.517816,-66.517082
1056.886568,-66.517082,-66.515982
1056.907727,-66.515982,-66.514241
1056.928805,-66.514241,-66.512526
1056.949337,-66.512526,-66.510846
1056.969892,-66.510846,-66.509423
1056.990768,-66.509423,-66.508344
1057.012913,-66.508344,-66.507489
1057.033724,-66.507489,-66.506389
1057.054448,-66.506389,-66.504757
1057.075874,-66.504757,-66.50316
1057.096625,-66.50316,-66.501368
1057.117308,-66.501368,-66.498913
1057.139083,-66.498913,-66.496128
1057.160012,-66.496128,-66.493012
1057.180362,-66.493012,-66.48983
1057.200403,-66.48983,-66.486408
1057.222223,-66.486408,-66.483631
1057.242513,-66.483631,-66.481328
1057.26365,-66.481328,-66.478949
1057.285042,-66.478949,-66.476796
1057.306681,-66.476796,-66.474643
1057.328629,-66.474643,-66.472583
1057.350445,-66.472583,-66.47107
1057.371112,-66.47107,-66.46953
1057.392207,-66.46953,-66.467605
1057.412769,-66.467605,-66.465142
1057.434296,-66.465142,-66.463355
1057.456089,-66.463355,-66.462381
1057.478162,-66.462381,-66.461579
1057.499301,-66.461579,-66.461413
1057.52043,-66.461413,-66.461444
1057.542832,-66.461444,-66.460911
1057.56457,-66.460911,-66.459759
1057.585674,-66.459759,-66.458217
1057.607042,-66.458217,-66.456666
1057.628186,-66.456666,-66.45476
1057.648694,-66.45476,-66.452832
1057.67067,-66.452832,-66.452209
1057.693031,-66.452209,-66.452492
1057.715322,-66.452492,-66.45294
1057.736984,-66.45294,-66.452751
1057.759837,-66.452751,-66.451203
1057.781209,-66.451203,-66.448559
1057.802837,-66.448559,-66.446114
1057.823837,-66.446114,-66.444189
1057.845667,-66.444189,-66.442654
1057.866422,-66.442654,-66.441021
1057.887308,-66.441021,-66.439166
1057.907775,-66.439166,-66.436812
1057.929551,-66.436812,-66.434342
1057.950811,-66.434342,-66.432211
1057.972273,-66.432211,-66.430555
1057.992623,-66.430555,-66.428925
1058.013305,-66.428925,-66.42737
1058.034115,-66.42737,-66.425848
1058.055143,-66.425848,-66.42441
1058.076275,-66.42441,-66.423621
1058.09629,-66.423621,-66.423171
1058.116427,-66.423171,-66.422185
1058.138657,-66.422185,-66.420529
1058.160197,-66.420529,-66.418856
1058.180848,-66.418856,-66.417104
1058.201303,-66.417104,-66.415631
1058.222067,-66.415631,-66.414357
1058.243592,-66.414357,-66.413348
1058.263709,-66.413348,-66.411878
1058.285702,-66.411878,-66.409848
1058.306132,-66.409848,-66.407378
1058.327474,-66.407378,-66.405176
1058.348952,-66.405176,-66.403459
1058.368998,-66.403459,-66.40205
