file_N:26,train,seed:None,percent:2413,integrated,n:3,N:4
t,V,V'
1009.092818,-43.487203,-43.472917
1009.113206,-43.472917,-43.458575
1009.13361,-43.458575,-43.443968
1009.15394,-43.443968,-43.429301
1009.174201,-43.429301,-43.414749
1009.194468,-43.414749,-43.399972
1009.214711,-43.399972,-43.384722
1009.234817,-43.384722,-43.368509
1009.255801,-43.368509,-43.352567
1009.276796,-43.352567,-43.337221
1009.296798,-43.337221,-43.320953
1009.317722,-43.320953,-43.304819
1009.338637,-43.304819,-43.288782
1009.35959,-43.288782,-43.272054
1009.380416,-43.272054,-43.254852
1009.40106,-43.254852,-43.237147
1009.421545,-43.237147,-43.219208
1009.441926,-43.219208,-43.200879
1009.4622,-43.200879,-43.182438
1009.482394,-43.182438,-43.164144
1009.502584,-43.164144,-43.145996
1009.522808,-43.145996,-43.127753
1009.543003,-43.127753,-43.109933
1009.563247,-43.109933,-43.092385
1009.58357,-43.092385,-43.074695
1009.603908,-43.074695,-43.056078
1009.624065,-43.056078,-43.035558
1009.644906,-43.035558,-43.014158
1009.665507,-43.014158,-42.992186
1009.685911,-42.992186,-42.97053
1009.706285,-42.97053,-42.949407
1009.726754,-42.949407,-42.928452
1009.747277,-42.928452,-42.907373
1009.767791,-42.907373,-42.885976
1009.788227,-42.885976,-42.864355
1009.808589,-42.864355,-42.842414
1009.828875,-42.842414,-42.820387
1009.849087,-42.820387,-42.798483
1009.869307,-42.798483,-42.776263
1009.889481,-42.776263,-42.753605
1009.909549,-42.753605,-42.729664
1009.930436,-42.729664,-42.705795
1009.951288,-42.705795,-42.682235
1009.972165,-42.682235,-42.659839
1009.992167,-42.659839,-42.636434
1010.01307,-42.636434,-42.613023
1010.033956,-42.613023,-42.589522
1010.054814,-42.589522,-42.565768
1010.075614,-42.565768,-42.542046
1010.096368,-42.542046,-42.51873
1010.11716,-42.51873,-42.495501
1010.137989,-42.495501,-42.471982
1010.158769,-42.471982,-42.448011
1010.179455,-42.448011,-42.423097
1010.199972,-42.423097,-42.397395
1010.220293,-42.397395,-42.371511
1010.24051,-42.371511,-42.34577
1010.260702,-42.34577,-42.320767
1010.280971,-42.320767,-42.296182
1010.301332,-42.296182,-42.271727
1010.32172,-42.271727,-42.247423
1010.342127,-42.247423,-42.222718
1010.36248,-42.222718,-42.197626
1010.382733,-42.197626,-42.172338
1010.402917,-42.172338,-42.146771
1010.423031,-42.146771,-42.121003
1010.443088,-42.121003,-42.093532
1010.463914,-42.093532,-42.065641
1010.484623,-42.065641,-42.037743
1010.505281,-42.037743,-42.009931
1010.525922,-42.009931,-41.982242
1010.546568,-41.982242,-41.954596
1010.567195,-41.954596,-41.927153
1010.587836,-41.927153,-41.899482
1010.608449,-41.899482,-41.871474
1010.628979,-41.871474,-41.843513
1010.649468,-41.843513,-41.815795
