file_N:29,train,seed:None,percent:4847,integrated,n:1,N:2
t,V,V'
0.0,-63.90972,-63.909598
0.020594,-63.909598,-63.909499
0.041334,-63.909499,-63.910069
0.061687,-63.910069,-63.911166
0.082015,-63.911166,-63.912776
0.102864,-63.912776,-63.914673
0.12467,-63.914673,-63.915942
0.144979,-63.915942,-63.916279
0.165931,-63.916279,-63.916128
0.188644,-63.916128,-63.91683
0.21089,-63.91683,-63.918203
0.232635,-63.918203,-63.919629
0.253461,-63.919629,-63.921186
0.273795,-63.921186,-63.922256
0.294748,-63.922256,-63.922647
0.316398,-63.922647,-63.922808
0.337001,-63.922808,-63.92313
0.357147,-63.92313,-63.923624
0.377945,-63.923624,-63.923991
0.398051,-63.923991,-63.92398
0.419242,-63.92398,-63.924021
0.441263,-63.924021,-63.923877
0.462944,-63.923877,-63.923757
0.484718,-63.923757,-63.923413
0.506772,-63.923413,-63.922755
0.529121,-63.922755,-63.922642
0.550615,-63.922642,-63.922822
0.570859,-63.922822,-63.923292
0.592674,-63.923292,-63.923659
0.613315,-63.923659,-63.923853
0.636125,-63.923853,-63.923939
0.658725,-63.923939,-63.924109
0.680565,-63.924109,-63.924821
0.701272,-63.924821,-63.925698
0.72164,-63.925698,-63.926432
0.742418,-63.926432,-63.927048
0.763825,-63.927048,-63.92728
0.784627,-63.92728,-63.927242
0.806164,-63.927242,-63.927288
0.829352,-63.927288,-63.927409
0.849553,-63.927409,-63.927266
0.87072,-63.927266,-63.926763
0.892385,-63.926763,-63.926411
0.913015,-63.926411,-63.926162
0.935524,-63.926162,-63.925921
0.955692,-63.925921,-63.925724
0.975819,-63.925724,-63.925599
0.998433,-63.925599,-63.925297
1.01924,-63.925297,-63.924805
1.040236,-63.924805,-63.924073
1.062132,-63.924073,-63.923294
1.08304,-63.923294,-63.922567
1.104056,-63.922567,-63.921915
1.125435,-63.921915,-63.921218
1.147077,-63.921218,-63.920431
1.168124,-63.920431,-63.919784
1.18921,-63.919784,-63.919569
1.209976,-63.919569,-63.919905
1.232271,-63.919905,-63.920774
1.254128,-63.920774,-63.921968
1.276224,-63.921968,-63.923243
1.297449,-63.923243,-63.924181
1.319294,-63.924181,-63.924419
1.341708,-63.924419,-63.923938
1.361951,-63.923938,-63.923035
1.383125,-63.923035,-63.922146
1.403227,-63.922146,-63.921306
1.423644,-63.921306,-63.920656
1.44446,-63.920656,-63.920905
1.466076,-63.920905,-63.921748
1.48782,-63.921748,-63.922731
1.508129,-63.922731,-63.92434
1.529183,-63.92434,-63.926487
1.550756,-63.926487,-63.928654
1.571779,-63.928654,-63.930083
1.593728,-63.930083,-63.930437
1.614819,-63.930437,-63.930044
1.636118,-63.930044,-63.928837
1.656581,-63.928837,-63.927647
1.677633,-63.927647,-63.92746
1.699547,-63.92746,-63.928262
1.720958,-63.928262,-63.929649
1.742647,-63.929649,-63.931248
1.763101,-63.931248,-63.932377
1.783716,-63.932377,-63.932499
